"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/24/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/25/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/26/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/27/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"02/28/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/01/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","23","96.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/02/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/03/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/04/2022","AQS","550270001","1","0.2","ppm","2","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
"03/05/2022","AQS","550270001","1","0.3","ppm","3","HORICON WILDLIFE AREA","24","100.0000","42101","Carbon monoxide","13180","Beaver Dam, WI","55","Wisconsin","027","Dodge","43.46611","-88.62111"
